Category,x,y,file_name,dim_x,dim_y,file_index,file_W,file_B
WM,401,59,,836,1948,58,CFD-WM-222-057-N.jpg,CFD-WM-222-057-N.jpg
WM,570,62,,836,1948,40,CFD-WM-204-031-N.jpg,CFD-WM-204-031-N.jpg
WM,246,153,,836,1948,76,CFD-WM-241-072-N.jpg,CFD-WM-241-072-N.jpg
WM,251,249,,836,1948,75,CFD-WM-240-125-N.jpg,CFD-WM-240-125-N.jpg
WM,66,257,,836,1948,90,CFD-WM-256-138-N.jpg,CFD-WM-256-138-N.jpg
WM,735,263,,836,1948,20,CFD-WM-024-015-N.jpg,CFD-WM-024-015-N.jpg
WM,375,349,,836,1948,55,CFD-WM-219-008-N.jpg,CFD-WM-219-008-N.jpg
WM,217,340,,836,1948,74,CFD-WM-239-128-N.jpg,CFD-WM-239-128-N.jpg
WM,91,351,,836,1948,89,CFD-WM-255-219-N.jpg,CFD-WM-255-219-N.jpg
WM,239,429,,836,1948,73,CFD-WM-238-020-N.jpg,CFD-WM-238-020-N.jpg
WM,404,442,,836,1948,54,CFD-WM-218-074-N.jpg,CFD-WM-218-074-N.jpg
WM,558,444,,836,1948,36,CFD-WM-200-034-N.jpg,CFD-WM-200-034-N.jpg
WM,736,469,,836,1948,18,CFD-WM-022-001-N.jpg,CFD-WM-022-001-N.jpg
WM,739,558,,836,1948,17,CFD-WM-021-001-N.jpg,CFD-WM-021-001-N.jpg
WM,236,543,,836,1948,72,CFD-WM-237-052-N.jpg,CFD-WM-237-052-N.jpg
WM,86,582,,836,1948,87,CFD-WM-253-119-N.jpg,CFD-WM-253-119-N.jpg
WM,101,657,,836,1948,86,CFD-WM-252-224-N.jpg,CFD-WM-252-224-N.jpg
WM,229,637,,836,1948,71,CFD-WM-236-072-N.jpg,CFD-WM-236-072-N.jpg
WM,80,756,,836,1948,85,CFD-WM-251-002-N.jpg,CFD-WM-251-002-N.jpg
WM,251,828,,836,1948,69,CFD-WM-234-118-N.jpg,CFD-WM-234-118-N.jpg
WM,570,941,,836,1948,31,CFD-WM-037-025-N.jpg,CFD-WM-037-025-N.jpg
WM,735,930,,836,1948,13,CFD-WM-017-002-N.jpg,CFD-WM-017-002-N.jpg
WM,235,915,,836,1948,68,CFD-WM-233-106-N.jpg,CFD-WM-233-106-N.jpg
WM,239,1021,,836,1948,67,CFD-WM-232-070-N.jpg,CFD-WM-232-070-N.jpg
WM,78,1032,,836,1948,82,CFD-WM-248-036-N.jpg,CFD-WM-248-036-N.jpg
WM,573,1115,,836,1948,29,CFD-WM-035-032-N.jpg,CFD-WM-035-032-N.jpg
WM,219,1108,,836,1948,66,CFD-WM-231-112-N.jpg,CFD-WM-231-112-N.jpg
WM,91,1141,,836,1948,81,CFD-WM-247-084-N.jpg,CFD-WM-247-084-N.jpg
WM,257,1211,,836,1948,65,CFD-WM-230-131-N.jpg,CFD-WM-230-131-N.jpg
WM,80,1232,,836,1948,80,CFD-WM-245-123-N.jpg,CFD-WM-245-123-N.jpg
WM,562,1217,,836,1948,28,CFD-WM-034-030-N.jpg,CFD-WM-034-030-N.jpg
WM,408,1212,,836,1948,46,CFD-WM-210-057-N.jpg,CFD-WM-210-057-N.jpg
WM,383,1311,,836,1948,45,CFD-WM-209-038-N.jpg,CFD-WM-209-038-N.jpg
WM,69,1319,,836,1948,79,CFD-WM-244-003-N.jpg,CFD-WM-244-003-N.jpg
WM,88,1434,,836,1948,78,CFD-WM-243-107-N.jpg,CFD-WM-243-107-N.jpg
WM,252,1404,,836,1948,63,CFD-WM-228-065-N.jpg,CFD-WM-228-065-N.jpg
WM,248,1509,,836,1948,62,CFD-WM-227-099-N.jpg,CFD-WM-227-099-N.jpg
WM,255,1603,,836,1948,61,CFD-WM-225-127-N.jpg,CFD-WM-225-127-N.jpg
WM,88,1807,,836,1948,1,CFD-WM-002-009-N.jpg,CFD-WM-002-009-N.jpg
WM,736,733,,836,1948,15,CFD-WM-019-003-N.jpg,CFD-WM-019-003-N.jpg
